R=20  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
250 20 A3_local 17 3 0.844681 1.573226 0.728545 0.728545 0.212237
250 1 A4_full 17 3 1.033781 0.937235 -0.096546 0.096546 0.175459
250 2 A4_full 17 3 1.162573 1.468603 0.306031 0.306031 0.225285
250 3 A4_full 17 3 0.797532 0.812103 0.014571 0.014571 0.116549
250 4 A4_full 17 3 1.450210 1.675594 0.225383 0.225383 0.193483
250 5 A4_full 17 3 1.250430 1.446573 0.196144 0.196144 0.133983
250 6 A4_full 17 3 0.916060 1.019808 0.103748 0.103748 0.130994
250 7 A4_full 17 3 1.276089 1.290027 0.013938 0.013938 0.177869
250 8 A4_full 17 3 1.413647 1.696798 0.283151 0.283151 0.151246
250 9 A4_full 17 3 0.850032 1.054764 0.204733 0.204733 0.099844
250 10 A4_full 17 3 1.215811 1.589438 0.373627 0.373627 0.163442
250 11 A4_full 17 3 0.741248 0.904461 0.163213 0.163213 0.086597
250 12 A4_full 17 3 0.902929 1.159751 0.256822 0.256822 0.127839
250 13 A4_full 17 3 0.878288 1.505712 0.627424 0.627424 0.255312
250 14 A4_full 17 3 0.984088 1.603208 0.619120 0.619120 0.192288
250 15 A4_full 17 3 1.062965 1.652933 0.589968 0.589968 0.195843
250 16 A4_full 17 3 1.321155 1.964654 0.643499 0.643499 0.232347
250 17 A4_full 17 3 0.805022 1.326495 0.521473 0.521473 0.152093
250 18 A4_full 17 3 1.205869 1.787705 0.581836 0.581836 0.184552
250 19 A4_full 17 3 0.640976 1.019109 0.378133 0.378133 0.135803
250 20 A4_full 17 3 0.867063 1.341990 0.474927 0.474927 0.140196
250 1 A5_empirical_optimal 20 0 0.981617 0.947494 -0.034123 0.034123 0.126058
250 2 A5_empirical_optimal 20 0 1.315387 1.198246 -0.117141 0.117141 0.150768
250 3 A5_empirical_optimal 20 0 0.834986 0.785174 -0.049812 0.049812 0.118162
250 4 A5_empirical_optimal 20 0 1.329369 1.222578 -0.106791 0.106791 0.164790
250 5 A5_empirical_optimal 20 0 1.173789 1.075901 -0.097888 0.097888 0.131472
250 6 A5_empirical_optimal 20 0 0.859933 0.951781 0.091849 0.091849 0.119290
250 7 A5_empirical_optimal 20 0 1.456614 1.477898 0.021285 0.021285 0.169982
250 8 A5_empirical_optimal 20 0 1.288735 1.340966 0.052231 0.052231 0.137373
250 9 A5_empirical_optimal 20 0 0.803225 0.997670 0.194445 0.194445 0.104755
250 10 A5_empirical_optimal 20 0 1.245149 1.450854 0.205705 0.205705 0.128604
250 11 A5_empirical_optimal 20 0 0.749634 0.833429 0.083795 0.083795 0.060374
250 12 A5_empirical_optimal 20 0 0.890661 1.027732 0.137071 0.137071 0.086318
250 13 A5_empirical_optimal 20 0 0.846449 1.179203 0.332754 0.332754 0.095286
250 14 A5_empirical_optimal 20 0 1.057220 1.584748 0.527528 0.527528 0.166229
250 15 A5_empirical_optimal 20 0 1.108700 1.635767 0.527068 0.527068 0.184268
250 16 A5_empirical_optimal 20 0 1.359917 1.867656 0.507740 0.507740 0.202110
250 17 A5_empirical_optimal 20 0 0.749903 1.137438 0.387535 0.387535 0.114297
250 18 A5_empirical_optimal 20 0 1.076956 1.449364 0.372407 0.372407 0.083280
250 19 A5_empirical_optimal 20 0 0.626364 0.960962 0.334598 0.334598 0.106271
250 20 A5_empirical_optimal 20 0 0.788123 1.134787 0.346665 0.346665 0.088779
500 1 A3_local 19 1 1.026954 1.482136 0.455182 0.455182 0.209692
500 2 A3_local 19 1 1.249241 2.241678 0.992437 0.992437 0.612056
500 3 A3_local 19 1 0.795583 1.355524 0.559940 0.559940 0.211331
500 4 A3_local 19 1 1.365776 2.043189 0.677413 0.677413 0.277344
500 5 A3_local 19 1 1.211512 1.757829 0.546317 0.546317 0.173656
500 6 A3_local 19 1 0.890292 1.276698 0.386405 0.386405 0.155856
500 7 A3_local 19 1 1.088567 1.953885 0.865318 0.865318 0.427845
500 8 A3_local 19 1 1.329559 2.222998 0.893440 0.893440 0.228656
500 9 A3_local 19 1 0.684600 1.305611 0.621010 0.621010 0.123093
500 10 A3_local 19 1 1.293616 2.256808 0.963192 0.963192 0.212366
500 11 A3_local 19 1 0.777970 1.188904 0.410934 0.410934 0.072308
500 12 A3_local 19 1 0.715491 1.229029 0.513538 0.513538 0.065112
500 13 A3_local 19 1 0.849312 1.873834 1.024522 1.024522 0.477768
500 14 A3_local 19 1 1.084609 2.435020 1.350411 1.350411 0.388754
500 15 A3_local 19 1 1.136281 2.249392 1.113111 1.113111 0.289291
500 16 A3_local 19 1 1.385332 2.589404 1.204072 1.204072 0.250326
500 17 A3_local 19 1 0.773309 1.512027 0.738718 0.738718 0.228017
500 18 A3_local 19 1 1.111699 1.980217 0.868518 0.868518 0.363370
500 19 A3_local 19 1 0.612160 1.135944 0.523784 0.523784 0.179430
500 20 A3_local 19 1 0.782977 1.382096 0.599120 0.599120 0.188951
500 1 A4_full 16 4 1.064439 1.000328 -0.064111 0.064111 0.172471
500 2 A4_full 16 4 1.335351 1.227186 -0.108164 0.108164 0.191572
500 3 A4_full 16 4 0.806022 0.910381 0.104359 0.104359 0.138071
500 4 A4_full 16 4 1.379229 1.538699 0.159470 0.159470 0.125518
500 5 A4_full 16 4 1.353902 1.342185 -0.011717 0.011717 0.113725
500 6 A4_full 16 4 0.733940 1.045973 0.312034 0.312034 0.174774
500 7 A4_full 16 4 0.983262 1.320988 0.337726 0.337726 0.132837
500 8 A4_full 16 4 1.471702 1.863521 0.391818 0.391818 0.152012
500 9 A4_full 16 4 0.748064 1.002339 0.254275 0.254275 0.095277
500 10 A4_full 16 4 1.274509 1.543948 0.269439 0.269439 0.143378
500 11 A4_full 16 4 0.773023 0.901010 0.127986 0.127986 0.067286
500 12 A4_full 16 4 0.786993 1.024516 0.237523 0.237523 0.054229
500 13 A4_full 16 4 0.948265 1.393822 0.445557 0.445557 0.136056
500 14 A4_full 16 4 1.002162 1.549668 0.547506 0.547506 0.134488
500 15 A4_full 16 4 1.208605 1.705391 0.496786 0.496786 0.136888
500 16 A4_full 16 4 1.423545 2.032663 0.609118 0.609118 0.280898
500 17 A4_full 16 4 0.811450 1.230329 0.418879 0.418879 0.128663
500 18 A4_full 16 4 1.185407 1.646151 0.460743 0.460743 0.108733
500 19 A4_full 16 4 0.606872 0.956369 0.349497 0.349497 0.149825
500 20 A4_full 16 4 0.896693 1.264543 0.367850 0.367850 0.117117
500 1 A5_empirical_optimal 20 0 0.981617 0.932816 -0.048801 0.048801 0.122717
500 2 A5_empirical_optimal 20 0 1.315387 1.146342 -0.169045 0.169045 0.148351
500 3 A5_empirical_optimal 20 0 0.834986 0.767010 -0.067976 0.067976 0.142980
500 4 A5_empirical_optimal 20 0 1.329369 1.211572 -0.117797 0.117797 0.140593
500 5 A5_empirical_optimal 20 0 1.173789 1.014561 -0.159228 0.159228 0.137122
500 6 A5_empirical_optimal 20 0 0.859933 0.972348 0.112416 0.112416 0.145593
500 7 A5_empirical_optimal 20 0 1.456614 1.315993 -0.140620 0.140620 0.249471
500 8 A5_empirical_optimal 20 0 1.288735 1.344645 0.055910 0.055910 0.114230
500 9 A5_empirical_optimal 20 0 0.803225 0.940917 0.137692 0.137692 0.111212
500 10 A5_empirical_optimal 20 0 1.245149 1.400539 0.155390 0.155390 0.071408
500 11 A5_empirical_optimal 20 0 0.749634 0.829592 0.079958 0.079958 0.055348
500 12 A5_empirical_optimal 20 0 0.890661 0.994797 0.104137 0.104137 0.113424
500 13 A5_empirical_optimal 20 0 0.846449 1.221568 0.375119 0.375119 0.149908
500 14 A5_empirical_optimal 20 0 1.057220 1.497933 0.440713 0.440713 0.112299
500 15 A5_empirical_optimal 20 0 1.108700 1.486308 0.377608 0.377608 0.116545
500 16 A5_empirical_optimal 20 0 1.359917 1.760655 0.400739 0.400739 0.180064
500 17 A5_empirical_optimal 20 0 0.749903 1.110050 0.360147 0.360147 0.105541
500 18 A5_empirical_optimal 20 0 1.076956 1.461519 0.384562 0.384562 0.128768
500 19 A5_empirical_optimal 20 0 0.626364 0.907847 0.281483 0.281483 0.087289
500 20 A5_empirical_optimal 20 0 0.788123 1.082769 0.294646 0.294646 0.086600
1000 1 A3_local 20 0 0.981617 1.306998 0.325381 0.325381 0.156618
