R=500  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20  statistic=C_post=|D(X_s_k^+)|
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
250 19 A3_local 420 80 27.783929 43.944638 16.160710 16.160710 0.626044
250 20 A3_local 420 80 28.099851 44.697842 16.597991 16.597991 0.610837
250 1 A4_full 394 106 7.400698 7.700485 0.299787 0.299787 0.296814
250 2 A4_full 394 106 10.227633 11.802846 1.575212 1.575212 0.333749
250 3 A4_full 394 106 11.974143 15.110644 3.136500 3.136500 0.364285
250 4 A4_full 394 106 13.851840 18.017802 4.165961 4.165961 0.424825
250 5 A4_full 394 106 15.231758 20.152951 4.921194 4.921194 0.434052
250 6 A4_full 394 106 16.616434 22.274374 5.657940 5.657940 0.449348
250 7 A4_full 394 106 18.021098 24.091665 6.070568 6.070568 0.466823
250 8 A4_full 394 106 19.358027 25.897917 6.539890 6.539890 0.482784
250 9 A4_full 394 106 20.158312 27.518750 7.360438 7.360438 0.482673
250 10 A4_full 394 106 20.817735 29.401815 8.584080 8.584080 0.528185
250 11 A4_full 394 106 21.780298 30.592768 8.812470 8.812470 0.545552
250 12 A4_full 394 106 22.498572 31.664213 9.165641 9.165641 0.527618
250 13 A4_full 394 106 23.484296 32.784733 9.300438 9.300438 0.533914
250 14 A4_full 394 106 24.356758 33.986747 9.629989 9.629989 0.522554
250 15 A4_full 394 106 24.999207 35.049124 10.049917 10.049917 0.530373
250 16 A4_full 394 106 25.855647 36.356706 10.501059 10.501059 0.536958
250 17 A4_full 394 106 26.500635 37.309720 10.809086 10.809086 0.531347
250 18 A4_full 394 106 26.633725 38.201454 11.567730 11.567730 0.536946
250 19 A4_full 394 106 27.173541 38.799791 11.626251 11.626251 0.560248
250 20 A4_full 394 106 27.469067 39.672232 12.203165 12.203165 0.545238
250 1 A5_empirical_optimal 492 8 7.590193 7.397019 -0.193174 0.193174 0.281772
250 2 A5_empirical_optimal 492 8 10.525025 10.771644 0.246618 0.246618 0.284014
250 3 A5_empirical_optimal 492 8 12.352388 13.331598 0.979209 0.979209 0.313541
250 4 A5_empirical_optimal 492 8 14.351626 15.581864 1.230238 1.230238 0.363424
