R=500  K=20  area_points=1600  ESS_threshold=0.75
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
500 3 A3_local 472 28 0.883344 1.387408 0.504064 0.504064 0.055664
500 4 A3_local 472 28 1.058332 1.658884 0.600552 0.600552 0.063148
500 5 A3_local 472 28 1.104029 1.780827 0.676798 0.676798 0.071430
500 6 A3_local 472 28 0.983267 1.631794 0.648526 0.648526 0.062678
500 7 A3_local 472 28 1.009967 1.672826 0.662859 0.662859 0.061737
500 8 A3_local 472 28 1.046685 1.731266 0.684582 0.684582 0.058098
500 9 A3_local 472 28 0.935331 1.479933 0.544603 0.544603 0.045803
500 10 A3_local 472 28 0.983987 1.575895 0.591908 0.591908 0.049595
500 11 A3_local 472 28 1.058331 1.816130 0.757800 0.757800 0.066792
500 12 A3_local 472 28 1.063225 1.776978 0.713753 0.713753 0.057626
500 13 A3_local 472 28 0.999403 1.612462 0.613059 0.613059 0.048547
500 14 A3_local 472 28 0.950801 1.582133 0.631333 0.631333 0.059131
500 15 A3_local 472 28 1.032071 1.712019 0.679948 0.679948 0.054349
500 16 A3_local 472 28 1.030343 1.618892 0.588549 0.588549 0.045828
500 17 A3_local 472 28 1.050377 1.719331 0.668954 0.668954 0.054564
500 18 A3_local 472 28 0.982238 1.581974 0.599735 0.599735 0.044708
500 19 A3_local 472 28 1.000366 1.671901 0.671536 0.671536 0.050411
500 20 A3_local 472 28 1.014323 1.692611 0.678288 0.678288 0.051539
500 1 A4_full 452 48 0.951758 1.026161 0.074403 0.074403 0.035068
500 2 A4_full 452 48 0.989930 1.065264 0.075334 0.075334 0.031969
500 3 A4_full 452 48 0.868055 1.025700 0.157644 0.157644 0.032567
500 4 A4_full 452 48 1.032342 1.198162 0.165821 0.165821 0.037005
500 5 A4_full 452 48 1.081724 1.316076 0.234352 0.234352 0.040728
500 6 A4_full 452 48 0.997809 1.232487 0.234678 0.234678 0.032288
500 7 A4_full 452 48 1.002941 1.242020 0.239079 0.239079 0.033895
500 8 A4_full 452 48 1.025107 1.288118 0.263012 0.263012 0.030528
500 9 A4_full 452 48 0.911360 1.160943 0.249583 0.249583 0.024280
500 10 A4_full 452 48 0.982350 1.244455 0.262105 0.262105 0.026047
500 11 A4_full 452 48 1.045979 1.380586 0.334607 0.334607 0.035500
500 12 A4_full 452 48 1.057403 1.377716 0.320312 0.320312 0.031784
500 13 A4_full 452 48 0.981822 1.291613 0.309791 0.309791 0.029796
500 14 A4_full 452 48 0.965112 1.312343 0.347231 0.347231 0.033382
500 15 A4_full 452 48 1.021657 1.351993 0.330336 0.330336 0.031377
500 16 A4_full 452 48 1.000249 1.306695 0.306447 0.306447 0.031352
500 17 A4_full 452 48 1.070553 1.430270 0.359717 0.359717 0.032029
500 18 A4_full 452 48 0.987454 1.312299 0.324845 0.324845 0.029168
500 19 A4_full 452 48 1.004976 1.400539 0.395563 0.395563 0.029603
500 20 A4_full 452 48 1.023566 1.388526 0.364960 0.364960 0.028572
1000 1 A3_local 489 11 0.964599 1.814365 0.849765 0.849765 0.086085
1000 2 A3_local 489 11 1.009018 1.612135 0.603117 0.603117 0.077265
1000 3 A3_local 489 11 0.885378 1.311674 0.426296 0.426296 0.048862
1000 4 A3_local 489 11 1.049157 1.526025 0.476868 0.476868 0.061519
1000 5 A3_local 489 11 1.069983 1.610994 0.541011 0.541011 0.066142
1000 6 A3_local 489 11 0.981216 1.499959 0.518743 0.518743 0.064685
1000 7 A3_local 489 11 1.013571 1.551821 0.538250 0.538250 0.056488
1000 8 A3_local 489 11 1.032618 1.618860 0.586243 0.586243 0.052051
1000 9 A3_local 489 11 0.917985 1.380474 0.462489 0.462489 0.043337
1000 10 A3_local 489 11 0.978800 1.469717 0.490918 0.490918 0.041713
1000 11 A3_local 489 11 1.053614 1.678180 0.624566 0.624566 0.058059
1000 12 A3_local 489 11 1.062627 1.680299 0.617672 0.617672 0.056214
1000 13 A3_local 489 11 1.018350 1.555215 0.536865 0.536865 0.045205
1000 14 A3_local 489 11 0.968784 1.517140 0.548355 0.548355 0.052595
1000 15 A3_local 489 11 1.019376 1.614435 0.595058 0.595058 0.055840
1000 16 A3_local 489 11 1.018982 1.520026 0.501044 0.501044 0.042995
1000 17 A3_local 489 11 1.056455 1.656998 0.600544 0.600544 0.053070
1000 18 A3_local 489 11 0.972554 1.474400 0.501846 0.501846 0.038966
1000 19 A3_local 489 11 0.998119 1.525448 0.527329 0.527329 0.038398
1000 20 A3_local 489 11 1.027849 1.588107 0.560258 0.560258 0.044289
1000 1 A4_full 489 11 0.954992 0.991890 0.036898 0.036898 0.030791
1000 2 A4_full 489 11 0.999514 1.042798 0.043283 0.043283 0.029033
1000 3 A4_full 489 11 0.879836 0.988045 0.108209 0.108209 0.026924
1000 4 A4_full 489 11 1.031274 1.139593 0.108319 0.108319 0.030264
1000 5 A4_full 489 11 1.084346 1.215624 0.131278 0.131278 0.033051
1000 6 A4_full 489 11 0.976434 1.162118 0.185684 0.185684 0.028174
1000 7 A4_full 489 11 1.024760 1.218857 0.194097 0.194097 0.033030
1000 8 A4_full 489 11 1.029353 1.216699 0.187346 0.187346 0.028630
1000 9 A4_full 489 11 0.927930 1.107661 0.179731 0.179731 0.025495
1000 10 A4_full 489 11 0.976352 1.141417 0.165065 0.165065 0.023033
1000 11 A4_full 489 11 1.050536 1.325217 0.274681 0.274681 0.031279
1000 12 A4_full 489 11 1.063481 1.303571 0.240090 0.240090 0.030683
1000 13 A4_full 489 11 1.009794 1.196769 0.186974 0.186974 0.024407
1000 14 A4_full 489 11 0.964228 1.190905 0.226677 0.226677 0.028089
1000 15 A4_full 489 11 1.031002 1.288420 0.257418 0.257418 0.028529
1000 16 A4_full 489 11 1.015478 1.247354 0.231876 0.231876 0.026798
1000 17 A4_full 489 11 1.055519 1.321876 0.266357 0.266357 0.029439
1000 18 A4_full 489 11 0.974824 1.195104 0.220280 0.220280 0.024851
1000 19 A4_full 489 11 0.992086 1.285157 0.293071 0.293071 0.025524
1000 20 A4_full 489 11 1.012789 1.287215 0.274427 0.274427 0.025948
2000 1 A3_local 499 1 0.953742 1.757232 0.803490 0.803490 0.083251
2000 2 A3_local 499 1 1.002418 1.582259 0.579841 0.579841 0.076641
2000 3 A3_local 499 1 0.884573 1.266996 0.382423 0.382423 0.046175
2000 4 A3_local 499 1 1.046241 1.449993 0.403752 0.403752 0.050315
2000 5 A3_local 499 1 1.081531 1.544799 0.463268 0.463268 0.061145
2000 6 A3_local 499 1 0.973050 1.407747 0.434697 0.434697 0.053573
2000 7 A3_local 499 1 1.022246 1.515631 0.493386 0.493386 0.058506
2000 8 A3_local 499 1 1.039211 1.534632 0.495421 0.495421 0.050541
2000 9 A3_local 499 1 0.920446 1.285927 0.365482 0.365482 0.036165
2000 10 A3_local 499 1 0.967945 1.379440 0.411495 0.411495 0.038973
2000 11 A3_local 499 1 1.052772 1.544488 0.491716 0.491716 0.047920
2000 12 A3_local 499 1 1.052827 1.549121 0.496294 0.496294 0.052427
2000 13 A3_local 499 1 1.010975 1.447988 0.437013 0.437013 0.040524
2000 14 A3_local 499 1 0.965622 1.432235 0.466613 0.466613 0.048958
2000 15 A3_local 499 1 1.029188 1.514259 0.485071 0.485071 0.044899
2000 16 A3_local 499 1 1.013656 1.448683 0.435027 0.435027 0.040491
2000 17 A3_local 499 1 1.051080 1.560619 0.509539 0.509539 0.045096
